FORMAN	HOLMES	SHERLOCK HOLMES
FORMAN	WATSON	DOCTOR WATSON
FORMAN	HOLMES	SHERLOCK HOLMES
FORMAN	WATSON	DOCTOR WATSON
WATSON	HOLMES	SHERLOCK HOLMES
WATSON	HOLMES	HOLMES
LESTRADE	HOLMES	MR. HOLMES
LESTRADE	WATSON	DOCTOR WATSON
HOLMES	LESTRADE	MY DEAR FELLOW
LESTRADE	HOLMES	MR. HOLMES
LESTRADE	HOLMES	SIR
LESTRADE	HOLMES	MR. HOLMES
LESTRADE	HOLMES	MR. HOLMES
LESTRADE	HOLMES	MR. HOLMES
LESTRADE	HOLMES	SIR
WATSON	HOLMES	HOLMES
HOLMES	WATSON	OLD CHAP
LESTRADE	HOLMES	MR. HOLMES
LESTRADE	HOLMES	MR. SHERLOCK HOLMES
LESTRADE	WATSON	DOCTOR WATSON
ISABEL	HOLMES	MR. HOLMES
ISABEL	WATSON	DR. WATSON
HOLMES	RUSH	SIR
LESTRADE	HOLMES	MR. HOLMES
ISABEL	HOLMES	MR. HOLMES
ISABEL	HOLMES	MR. HOLMES
HOLMES	WATSON	WATSON
ISABEL	HOLMES	MR. HOLMES
HOLMES	HOLMES	SHERLOCK HOLMES
HOLMES	WATSON	DOCTOR WATSON
BLACK	HOLMES	MR. HOLMES
WATSON	BLACK	SIR
BLACK	HOLMES	MR. HOLMES
BLACK	HOLMES	MR. HOLMES
WATSON	HOLMES	HOLMES
HOLMES	WATSON	OLD CHAP
HOLMES	WATSON	WATSON
WATSON	HOLMES	HOLMES
HOLMES	WATSON	OLD CHAP
HOLMES	WATSON	WATSON
FORMAN	WATSON	DOCTOR WATSON
FORMAN	HOLMES	SHERLOCK HOLMES
FORMAN	HOLMES	SHERLOCK HOLMES
FORMAN	WATSON	DOCTOR WATSON
WATSON	HOLMES	HOLMES
HOLMES	WATSON	OLD CHAP
HOLMES	WATSON	MY DEAR WATSON
HOLMES	WATSON	OLD FELLOW
WATSON	HOLMES	HOLMES
WATSON	HOLMES	HOLMES
STANLEY	HOLMES	SHERLOCK HOLMES
HOLMES	WATSON	WATSON
LESTRADE	HOLMES	MR. HOLMES
LESTRADE	WATSON	DOCTOR WATSON
STANLEY	HOLMES	MR. HOLMES
HOLMES	WATSON	DOCTOR WATSON
LESTRADE	HOLMES	MR. HOLMES
LESTRADE	HOLMES	MR. HOLMES
WATSON	HOLMES	HOLMES
LESTRADE	HOLMES	MR. HOLMES
BLACK	HOLMES	SHERLOCK HOLMES
WATSON	HOLMES	HOLMES
HOLMES	WATSON	OLD CHAP
STANLEY	HOLMES	MR. HOLMES
STANLEY	HOLMES	HOLMES
LESTRADE	HOLMES	MR. HOLMES
WATSON	HOLMES	HOLMES
LESTRADE	HOLMES	MR. HOLMES
LESTRADE	HOLMES	MR. HOLMES
LESTRADE	LESTRADE	SIR
LESTRADE	HOLMES	MR. HOLMES
FORMAN	WATSON	DR. WATSON
FORMAN	WATSON	SIR
FORMAN	WATSON	DOCTOR WATSON
WATSON	HOLMES	SHERLOCK HOLMES
FORMAN	HOLMES	SHERLOCK HOLMES
FORMAN	HOLMES	SHERLOCK HOLMES
FORMAN	HOLMES	SHERLOCK HOLMES
ANNOUNCER	HOLMES	SHERLOCK HOLMES
ANNOUNCER	WATSON	DR. WATSON
